account_number,company,transaction_amount,transaction_date
35495640,Davis-Mcgee,35.24,2024-06-21
56124453,Davis-Ramos,87.02,2024-05-15
35495640,"Hamilton, Brown and Vincent",34.57,2024-02-26
35927483,Gomez-Hunt,46.22,2024-03-04
56124453,Davis-Ramos,61.16,2024-02-11
35927483,"Barnes, Young and Sanchez",76.38,2024-05-31
35495640,Smith-Daniels,81.39,2024-04-28
35927483,Monroe-Howard,99.15,2024-04-17
35495640,Davis-Ramos,27.7,2024-03-05
56124453,Hughes Inc,33.43,2024-06-03
35927483,Jones and Sons,37.28,2024-07-10
35495640,"Nguyen, Walker and Church",22.57,2024-02-25
56124453,Hughes Inc,99.56,2024-05-01
35927483,Davis-Kennedy,88.22,2024-02-04
56124453,Gomez-Hunt,41.07,2024-04-13
56124453,Reyes PLC,45.62,2024-03-23
56124453,"Greene, Martin and Benson",31.64,2024-02-18
35495640,"Rhodes, Miller and Jackson",11.94,2024-06-06
35495640,Smith-Daniels,63.22,2024-07-28
35927483,Smith-Daniels,53.07,2024-06-12
35927483,Weber-Lynch,35.77,2024-01-17
56124453,Hester-Thomas,18.77,2024-06-14
56124453,Gomez-Hunt,62.36,2024-02-01
56124453,Davis-Mcgee,87.75,2024-06-19
35495640,Carpenter PLC,25.95,2024-06-12
56124453,Hughes Inc,95.82,2024-03-18
35495640,Davis-Kennedy,18.61,2024-03-12
56124453,"Martin, Fuentes and Owens",72.3,2024-02-07
56124453,Hester-Thomas,93.74,2024-03-28
35927483,Smith-Daniels,0.03,2024-01-18
35495640,"Suarez, Russell and Coleman",49.13,2024-04-12
35927483,"Smith, Smith and Sanford",77.66,2024-01-06
35927483,"Rhodes, Miller and Jackson",36.94,2024-07-09
35927483,Jones and Sons,66.25,2024-05-04
35927483,Hayes-Rios,35.44,2024-05-28
35495640,"Rhodes, Miller and Jackson",76.67,2024-02-16
35495640,Hughes Inc,47.0,2024-04-26
35927483,Monroe-Howard,39.48,2024-07-16
35495640,Sanchez-Meyers,95.04,2024-04-04
35927483,Reyes PLC,14.28,2024-04-25
56124453,Hester-Thomas,85.77,2024-07-23
56124453,Hester-Thomas,54.74,2024-05-02
56124453,"Rhodes, Miller and Jackson",38.4,2024-03-23
35927483,"Evans, Young and Dean",58.2,2024-06-10
35495640,"Trujillo, Ewing and Young",40.05,2024-02-08
35495640,Davis-Ramos,68.02,2024-01-22
56124453,Monroe-Howard,9.79,2024-01-07
56124453,"Evans, Young and Dean",17.28,2024-05-31
56124453,Carpenter PLC,98.42,2024-07-27
56124453,"Castillo, Hill and Lee",44.16,2024-05-26
35927483,Hughes Inc,29.86,2024-01-03
35495640,"Figueroa, Stark and Ferguson",1.35,2024-02-24
56124453,"Smith, Smith and Sanford",6.74,2024-01-10
56124453,Hester-Thomas,1.58,2024-07-02
35495640,"Trujillo, Ewing and Young",9.81,2024-04-08
35495640,Davis-Kennedy,72.65,2024-05-14
35927483,"Martin, Fuentes and Owens",44.45,2024-01-11
35495640,"Rodriguez, Ray and Romero",0.82,2024-05-03
35495640,Hester-Thomas,74.49,2024-03-19
35927483,Allen Ltd,10.6,2024-04-22
56124453,Davis-Ramos,81.32,2024-04-03
56124453,Hayes-Rios,74.36,2024-02-23
35927483,"Suarez, Russell and Coleman",96.11,2024-03-05
35927483,Hayes-Rios,64.19,2024-07-20
35927483,Hughes Inc,16.42,2024-03-12
35927483,"Rodriguez, Ray and Romero",72.1,2024-07-16
35927483,Monroe-Howard,25.39,2024-03-08
56124453,Jones and Sons,80.21,2024-05-02
35495640,Hughes Inc,67.15,2024-04-30
35927483,Hughes Inc,26.91,2024-04-23
56124453,Hester-Thomas,39.51,2024-04-20
35495640,Hayes-Rios,19.18,2024-06-17
35927483,"Nguyen, Walker and Church",54.33,2024-06-14
35927483,"Barnes, Young and Sanchez",30.96,2024-03-03
35927483,Jones and Sons,96.57,2024-02-26
56124453,Davis-Ramos,60.89,2024-04-16
35927483,Hayes-Rios,7.72,2024-01-29
35495640,"Castillo, Hill and Lee",41.33,2024-04-24
35495640,Reyes PLC,10.46,2024-01-25
56124453,"Barnes, Young and Sanchez",69.53,2024-07-25
35495640,Reyes PLC,81.48,2024-01-09
35927483,Allen Ltd,14.21,2024-07-29
35495640,"Nguyen, Walker and Church",42.22,2024-06-18
35927483,"Hamilton, Brown and Vincent",78.67,2024-07-29
56124453,"Figueroa, Stark and Ferguson",32.84,2024-04-02
35927483,Gomez-Hunt,98.21,2024-02-11
35927483,Carpenter PLC,14.57,2024-07-16
35495640,"Evans, Young and Dean",60.78,2024-03-31
35495640,Weber-Lynch,11.92,2024-07-21
35495640,"Nguyen, Walker and Church",58.88,2024-07-17
56124453,Brown-Shaffer,98.7,2024-03-28
56124453,Gomez-Hunt,34.75,2024-02-28
35927483,"Trujillo, Ewing and Young",47.35,2024-03-26
35495640,Jones and Sons,56.99,2024-02-21
56124453,Gomez-Hunt,81.49,2024-02-22
35927483,"Trujillo, Ewing and Young",65.04,2024-05-13
56124453,Monroe-Howard,29.76,2024-03-07
56124453,Reyes PLC,70.2,2024-02-20
56124453,"Trujillo, Ewing and Young",85.5,2024-05-16
35495640,Allen Ltd,89.5,2024-01-26
56124453,Sanchez-Meyers,87.61,2024-01-14
35927483,"Thomas, Walker and Craig",44.57,2024-05-01
56124453,"Trujillo, Ewing and Young",3.62,2024-02-11
56124453,"Evans, Young and Dean",42.3,2024-02-03
35495640,Weber-Lynch,54.91,2024-04-05
35927483,Smith-Daniels,47.35,2024-01-03
35495640,Gomez-Hunt,11.09,2024-04-01
35927483,"Barnes, Young and Sanchez",75.9,2024-06-10
35927483,"Evans, Young and Dean",30.23,2024-02-22
56124453,"Greene, Martin and Benson",86.21,2024-01-04
35495640,Hester-Thomas,4.32,2024-06-13
35495640,Reyes PLC,45.46,2024-02-28
35927483,"Evans, Young and Dean",56.2,2024-04-03
56124453,Gomez-Hunt,49.26,2024-07-17
35495640,Sanchez-Meyers,3.52,2024-04-11
35495640,"Smith, Smith and Sanford",44.41,2024-06-12
35927483,Reyes PLC,35.06,2024-05-25
35927483,Jones and Sons,48.22,2024-07-22
35495640,Gomez-Hunt,35.88,2024-02-09
35927483,"Figueroa, Stark and Ferguson",64.19,2024-03-11
35495640,"Trujillo, Ewing and Young",92.3,2024-03-21
35927483,Davis-Ramos,68.55,2024-05-10
35927483,Carpenter PLC,82.2,2024-05-18
56124453,Hayes-Rios,76.71,2024-02-29
35927483,"Castillo, Hill and Lee",32.9,2024-02-01
56124453,"Trujillo, Ewing and Young",81.69,2024-07-28
35495640,"Rodriguez, Ray and Romero",20.93,2024-02-06
35495640,Jones and Sons,6.44,2024-02-08
56124453,Reyes PLC,49.57,2024-05-10
35927483,"Greene, Martin and Benson",60.62,2024-03-20
35927483,"Figueroa, Stark and Ferguson",2.64,2024-07-20
56124453,Smith-Daniels,43.73,2024-01-18
35495640,Hester-Thomas,77.47,2024-04-29
56124453,"Greene, Martin and Benson",58.57,2024-02-27
35495640,Davis-Ramos,89.63,2024-04-03
35927483,"Barnes, Young and Sanchez",35.36,2024-03-11
35495640,Davis-Mcgee,68.85,2024-01-13
35927483,"Suarez, Russell and Coleman",4.56,2024-05-25
35495640,Jones and Sons,72.08,2024-05-15
35927483,Carpenter PLC,68.67,2024-06-07
35495640,"Hamilton, Brown and Vincent",44.81,2024-04-27
35927483,"Evans, Young and Dean",4.36,2024-06-07
35927483,"Castillo, Hill and Lee",47.22,2024-06-19
56124453,Reyes PLC,71.1,2024-05-12
35927483,"Evans, Young and Dean",14.4,2024-07-03
35495640,"Thomas, Walker and Craig",34.48,2024-05-03
35927483,Hayes-Rios,61.38,2024-02-09
35927483,Gomez-Hunt,65.37,2024-06-23
56124453,"Evans, Young and Dean",74.59,2024-04-20
35927483,Jones and Sons,78.63,2024-04-13
56124453,"Rhodes, Miller and Jackson",0.42,2024-07-17
35495640,Monroe-Howard,32.14,2024-06-16
35927483,"Castillo, Hill and Lee",82.4,2024-03-14
35495640,"Castillo, Hill and Lee",35.85,2024-01-31
35927483,"Rodriguez, Ray and Romero",81.8,2024-02-16
56124453,Gomez-Hunt,27.41,2024-04-28
35495640,Davis-Mcgee,57.84,2024-04-25
35927483,Brown-Shaffer,71.67,2024-01-21
56124453,Carpenter PLC,80.43,2024-02-09
56124453,Davis-Mcgee,75.96,2024-05-27
56124453,"Hamilton, Brown and Vincent",7.22,2024-01-07
35927483,"Suarez, Russell and Coleman",28.76,2024-03-29
35495640,Davis-Ramos,59.12,2024-07-10
35495640,"Trujillo, Ewing and Young",23.59,2024-03-18
35927483,Monroe-Howard,39.98,2024-06-29
35495640,Allen Ltd,42.24,2024-06-01
35495640,"Rodriguez, Ray and Romero",26.22,2024-05-12
35927483,Davis-Ramos,64.51,2024-03-04
35927483,"Hamilton, Brown and Vincent",46.69,2024-05-08
35495640,Carpenter PLC,40.77,2024-04-27
35495640,"Rodriguez, Ray and Romero",11.07,2024-02-04
56124453,Hester-Thomas,36.63,2024-07-22
56124453,Gomez-Hunt,20.9,2024-03-19
56124453,Hester-Thomas,81.02,2024-06-17
35495640,"Smith, Smith and Sanford",44.98,2024-05-07
35495640,"Greene, Martin and Benson",18.66,2024-01-12
56124453,Davis-Kennedy,22.27,2024-02-21
35495640,"Smith, Smith and Sanford",24.88,2024-06-06
35495640,"Nguyen, Walker and Church",99.62,2024-03-26
35927483,"Evans, Young and Dean",23.95,2024-06-04
56124453,Hughes Inc,32.71,2024-04-27
35927483,"Suarez, Russell and Coleman",79.04,2024-03-21
56124453,"Thomas, Walker and Craig",39.54,2024-05-27
35495640,"Castillo, Hill and Lee",45.48,2024-07-06
56124453,"Suarez, Russell and Coleman",8.76,2024-01-16
35495640,"Martin, Fuentes and Owens",58.9,2024-02-04
35495640,"Nguyen, Walker and Church",23.4,2024-05-28
35927483,Reyes PLC,72.75,2024-02-23
35927483,"Smith, Smith and Sanford",11.41,2024-06-19
56124453,Davis-Ramos,84.01,2024-03-12
35495640,Weber-Lynch,99.65,2024-07-12
35495640,Hayes-Rios,25.24,2024-03-17
56124453,"Hamilton, Brown and Vincent",69.53,2024-03-29
35495640,"Figueroa, Stark and Ferguson",14.15,2024-01-26
35495640,Davis-Mcgee,64.14,2024-01-13
35927483,"Nguyen, Walker and Church",22.05,2024-01-16
35927483,"Evans, Young and Dean",5.03,2024-01-10
35927483,"Martin, Fuentes and Owens",67.36,2024-05-08
35495640,Davis-Mcgee,96.41,2024-01-28
35927483,"Hamilton, Brown and Vincent",33.35,2024-03-11
35495640,"Evans, Young and Dean",5.32,2024-03-07
56124453,Smith-Daniels,93.73,2024-04-02
56124453,Hester-Thomas,72.88,2024-01-15
35495640,"Smith, Smith and Sanford",72.94,2024-01-28
56124453,"Rhodes, Miller and Jackson",56.68,2024-04-16
35495640,"Trujillo, Ewing and Young",73.5,2024-04-28
56124453,Hayes-Rios,65.12,2024-06-24
35495640,Monroe-Howard,59.6,2024-05-16
35495640,Davis-Ramos,12.76,2024-01-15
35495640,Davis-Kennedy,2.03,2024-07-23
35927483,Carpenter PLC,17.24,2024-01-28
56124453,Weber-Lynch,63.33,2024-02-07
56124453,"Evans, Young and Dean",36.29,2024-07-13
56124453,"Smith, Smith and Sanford",6.4,2024-04-24
35495640,"Rodriguez, Ray and Romero",76.41,2024-06-07
35927483,Davis-Mcgee,91.79,2024-06-09
35495640,Monroe-Howard,4.23,2024-01-11
35495640,Reyes PLC,76.45,2024-01-11
56124453,Davis-Ramos,52.25,2024-01-27
56124453,"Smith, Smith and Sanford",23.22,2024-03-05
56124453,Davis-Ramos,10.65,2024-04-26
35495640,Allen Ltd,46.16,2024-01-28
56124453,"Greene, Martin and Benson",48.82,2024-03-25
35495640,"Greene, Martin and Benson",95.36,2024-02-25
35495640,Monroe-Howard,41.14,2024-04-21
35495640,Davis-Mcgee,1.89,2024-07-16
35495640,Sanchez-Meyers,16.95,2024-06-13
56124453,"Trujillo, Ewing and Young",77.2,2024-04-17
35495640,"Figueroa, Stark and Ferguson",50.06,2024-05-25
35927483,Hayes-Rios,12.06,2024-05-30
35927483,"Nguyen, Walker and Church",55.45,2024-01-09
56124453,Monroe-Howard,75.54,2024-01-02
56124453,Monroe-Howard,78.75,2024-07-11
35495640,"Trujillo, Ewing and Young",96.24,2024-05-06
56124453,"Trujillo, Ewing and Young",40.87,2024-01-15
35495640,"Trujillo, Ewing and Young",37.15,2024-03-01
35927483,"Figueroa, Stark and Ferguson",74.09,2024-07-13
56124453,"Martin, Fuentes and Owens",43.69,2024-06-16
35927483,"Nguyen, Walker and Church",53.89,2024-03-02
35495640,"Martin, Fuentes and Owens",81.61,2024-05-14
35927483,"Nguyen, Walker and Church",97.51,2024-06-12
35927483,"Suarez, Russell and Coleman",74.96,2024-07-22
56124453,Hughes Inc,38.59,2024-01-29
35495640,Davis-Kennedy,27.01,2024-03-13
56124453,Hester-Thomas,9.22,2024-02-28
35927483,"Castillo, Hill and Lee",64.81,2024-05-25
35495640,"Evans, Young and Dean",68.96,2024-03-19
35495640,Brown-Shaffer,58.73,2024-04-03
56124453,"Hamilton, Brown and Vincent",19.57,2024-06-02
35927483,Hayes-Rios,78.35,2024-07-26
35495640,Davis-Mcgee,32.32,2024-05-31
56124453,"Figueroa, Stark and Ferguson",27.13,2024-03-28
56124453,Jones and Sons,53.32,2024-06-28
35927483,Sanchez-Meyers,40.25,2024-06-22
56124453,"Barnes, Young and Sanchez",50.09,2024-02-29
35927483,Weber-Lynch,98.53,2024-06-15
35495640,Sanchez-Meyers,54.91,2024-01-06
35927483,Weber-Lynch,41.35,2024-02-06
56124453,Gomez-Hunt,92.33,2024-05-11
56124453,"Martin, Fuentes and Owens",71.68,2024-07-24
56124453,Davis-Kennedy,60.19,2024-03-31
35495640,"Greene, Martin and Benson",80.36,2024-07-12
35495640,"Rodriguez, Ray and Romero",92.47,2024-03-07
35495640,"Greene, Martin and Benson",3.03,2024-05-14
35927483,Reyes PLC,30.94,2024-04-18
35927483,"Figueroa, Stark and Ferguson",87.28,2024-04-21
35927483,Hughes Inc,13.5,2024-02-17
35495640,"Nguyen, Walker and Church",77.37,2024-04-24
56124453,Gomez-Hunt,33.6,2024-02-15
35927483,Hayes-Rios,83.86,2024-01-25
35927483,Reyes PLC,1.56,2024-07-25
35495640,"Nguyen, Walker and Church",7.52,2024-04-18
35927483,Davis-Kennedy,6.17,2024-02-25
35495640,"Castillo, Hill and Lee",83.48,2024-03-09
56124453,"Martin, Fuentes and Owens",21.39,2024-04-05
56124453,"Martin, Fuentes and Owens",95.9,2024-07-13
35495640,Brown-Shaffer,13.06,2024-05-03
56124453,Hester-Thomas,86.57,2024-01-01
35927483,"Trujillo, Ewing and Young",64.77,2024-03-21
56124453,Smith-Daniels,85.82,2024-07-01
56124453,Smith-Daniels,45.65,2024-07-29
56124453,"Trujillo, Ewing and Young",53.17,2024-05-29
35495640,Monroe-Howard,57.21,2024-05-17
56124453,Gomez-Hunt,91.09,2024-06-29
35495640,"Smith, Smith and Sanford",84.69,2024-06-22
35495640,Davis-Kennedy,8.31,2024-06-29
35927483,"Barnes, Young and Sanchez",5.94,2024-01-13
56124453,Davis-Kennedy,79.29,2024-02-10
35927483,"Greene, Martin and Benson",49.35,2024-02-04
56124453,Davis-Ramos,14.6,2024-04-04
35927483,Gomez-Hunt,78.81,2024-02-18
56124453,Davis-Mcgee,81.59,2024-01-06
56124453,Brown-Shaffer,6.13,2024-07-01
35927483,Monroe-Howard,87.92,2024-01-25
56124453,"Rodriguez, Ray and Romero",56.82,2024-01-15
56124453,"Figueroa, Stark and Ferguson",5.21,2024-03-28
56124453,Monroe-Howard,73.04,2024-06-10
56124453,Carpenter PLC,34.1,2024-04-05
35495640,Reyes PLC,23.32,2024-06-01
35495640,"Rodriguez, Ray and Romero",41.24,2024-03-28
56124453,"Suarez, Russell and Coleman",95.32,2024-04-30
56124453,Brown-Shaffer,27.99,2024-04-27
35927483,"Rodriguez, Ray and Romero",60.92,2024-03-07
56124453,Hayes-Rios,32.28,2024-06-08
56124453,Allen Ltd,33.14,2024-06-12
35927483,"Martin, Fuentes and Owens",11.33,2024-04-05
56124453,Brown-Shaffer,8.65,2024-02-12
35495640,"Thomas, Walker and Craig",22.64,2024-06-20
56124453,Reyes PLC,0.99,2024-03-23
35927483,"Thomas, Walker and Craig",72.34,2024-02-14
56124453,Smith-Daniels,73.79,2024-01-08
35927483,"Hamilton, Brown and Vincent",87.04,2024-07-05
56124453,"Hamilton, Brown and Vincent",38.86,2024-07-11
56124453,"Trujillo, Ewing and Young",39.26,2024-06-11
56124453,Sanchez-Meyers,95.69,2024-06-20
35495640,Carpenter PLC,82.39,2024-07-26
56124453,Allen Ltd,77.41,2024-05-31
56124453,Weber-Lynch,12.36,2024-01-23
35927483,Reyes PLC,39.04,2024-04-27
35927483,Reyes PLC,79.8,2024-06-21
35495640,Gomez-Hunt,69.73,2024-06-14
56124453,"Thomas, Walker and Craig",45.22,2024-03-31
35927483,Reyes PLC,95.01,2024-07-19
56124453,Allen Ltd,91.69,2024-03-09
35495640,Gomez-Hunt,9.88,2024-04-13
56124453,Allen Ltd,6.41,2024-04-03
35927483,Sanchez-Meyers,29.43,2024-04-13
56124453,"Rodriguez, Ray and Romero",44.46,2024-04-04
56124453,Hester-Thomas,56.17,2024-05-30
35495640,Reyes PLC,99.37,2024-06-14
35927483,Hughes Inc,24.69,2024-01-30
56124453,Weber-Lynch,7.21,2024-03-26
35927483,"Castillo, Hill and Lee",65.99,2024-02-23
35927483,"Martin, Fuentes and Owens",66.1,2024-02-05
35927483,Weber-Lynch,38.17,2024-05-25
35495640,"Castillo, Hill and Lee",3.92,2024-06-17
35927483,Brown-Shaffer,38.14,2024-06-04
35927483,"Rhodes, Miller and Jackson",93.67,2024-01-13
35927483,Monroe-Howard,7.98,2024-04-13
56124453,Reyes PLC,60.2,2024-07-28
35927483,Reyes PLC,73.0,2024-05-22
35495640,Davis-Ramos,62.4,2024-05-29
35927483,Hester-Thomas,75.08,2024-06-17
35495640,"Barnes, Young and Sanchez",75.94,2024-06-29
35927483,"Thomas, Walker and Craig",51.3,2024-04-27
35495640,"Evans, Young and Dean",38.91,2024-01-23
56124453,"Suarez, Russell and Coleman",34.64,2024-07-10
35927483,"Trujillo, Ewing and Young",68.76,2024-03-30
56124453,Allen Ltd,12.21,2024-05-14
35927483,Hayes-Rios,77.99,2024-02-21
56124453,Hayes-Rios,20.93,2024-07-20
56124453,"Barnes, Young and Sanchez",69.84,2024-05-31
35495640,Reyes PLC,47.29,2024-03-17
35495640,Brown-Shaffer,50.59,2024-07-25
35495640,"Martin, Fuentes and Owens",10.76,2024-02-28
35927483,"Greene, Martin and Benson",83.19,2024-03-24
56124453,"Trujillo, Ewing and Young",1.36,2024-05-12
56124453,Hester-Thomas,71.71,2024-06-17
35495640,"Greene, Martin and Benson",34.29,2024-04-09
35927483,Brown-Shaffer,40.88,2024-06-01
35495640,Davis-Ramos,80.49,2024-02-25
35495640,Sanchez-Meyers,91.65,2024-01-11
35927483,"Hamilton, Brown and Vincent",63.82,2024-06-17
35495640,"Greene, Martin and Benson",19.84,2024-01-31
56124453,Davis-Ramos,72.65,2024-02-16
56124453,"Trujillo, Ewing and Young",83.89,2024-03-12
35927483,Reyes PLC,66.37,2024-03-01
35927483,"Suarez, Russell and Coleman",20.28,2024-04-25
35927483,"Greene, Martin and Benson",48.35,2024-02-26
56124453,Hughes Inc,97.79,2024-05-19
35927483,Smith-Daniels,45.34,2024-05-04
35927483,Smith-Daniels,65.72,2024-04-01
56124453,Jones and Sons,40.59,2024-04-07
35927483,"Evans, Young and Dean",23.11,2024-01-09
56124453,Weber-Lynch,37.8,2024-01-20
35495640,Weber-Lynch,60.01,2024-03-30
35495640,"Thomas, Walker and Craig",66.36,2024-06-20
35495640,Sanchez-Meyers,66.52,2024-03-16
35495640,"Hamilton, Brown and Vincent",72.97,2024-03-17
56124453,Davis-Ramos,32.16,2024-06-16
56124453,"Barnes, Young and Sanchez",69.51,2024-04-23
56124453,Davis-Mcgee,34.37,2024-02-25
35495640,Brown-Shaffer,54.19,2024-06-13
35495640,Jones and Sons,91.63,2024-02-25
35495640,"Greene, Martin and Benson",88.02,2024-07-20
35495640,"Martin, Fuentes and Owens",94.46,2024-04-14
35927483,"Trujillo, Ewing and Young",10.38,2024-04-18
56124453,"Castillo, Hill and Lee",70.66,2024-05-22
35927483,"Barnes, Young and Sanchez",47.13,2024-01-15
35927483,Jones and Sons,49.74,2024-02-26
35495640,"Castillo, Hill and Lee",5.73,2024-05-29
56124453,"Rodriguez, Ray and Romero",65.04,2024-01-19
56124453,"Evans, Young and Dean",51.88,2024-02-03
56124453,"Thomas, Walker and Craig",41.33,2024-05-22
35927483,Davis-Kennedy,81.07,2024-04-05
56124453,"Trujillo, Ewing and Young",5.68,2024-06-18
35927483,Monroe-Howard,39.57,2024-05-21
35495640,"Nguyen, Walker and Church",78.98,2024-01-25
35495640,Davis-Ramos,55.95,2024-02-05
56124453,"Castillo, Hill and Lee",57.22,2024-02-16
35495640,Hester-Thomas,91.33,2024-07-10
35927483,Brown-Shaffer,9.25,2024-01-20
56124453,Davis-Mcgee,51.42,2024-03-02
35495640,"Figueroa, Stark and Ferguson",42.79,2024-07-25
56124453,"Smith, Smith and Sanford",87.24,2024-04-16
56124453,Smith-Daniels,20.07,2024-02-27
56124453,Allen Ltd,68.54,2024-07-07
56124453,Davis-Mcgee,97.02,2024-07-10
35927483,Weber-Lynch,27.83,2024-07-16
56124453,"Trujillo, Ewing and Young",87.81,2024-03-06
56124453,Allen Ltd,24.39,2024-04-01
35927483,Reyes PLC,96.37,2024-07-01
56124453,"Barnes, Young and Sanchez",14.17,2024-02-16
35495640,Sanchez-Meyers,86.71,2024-06-12
35495640,Monroe-Howard,59.31,2024-01-03
35495640,Smith-Daniels,10.46,2024-04-01
35927483,Reyes PLC,48.02,2024-07-22
35495640,Hester-Thomas,90.32,2024-01-21
56124453,"Thomas, Walker and Craig",75.07,2024-03-09
35495640,Sanchez-Meyers,70.89,2024-02-15
35927483,"Evans, Young and Dean",75.15,2024-06-26
35495640,"Suarez, Russell and Coleman",11.61,2024-01-15
56124453,"Rhodes, Miller and Jackson",24.13,2024-05-08
56124453,"Rhodes, Miller and Jackson",2.94,2024-02-18
35495640,Davis-Ramos,2.46,2024-06-14
56124453,Weber-Lynch,85.52,2024-03-21
35927483,"Figueroa, Stark and Ferguson",94.84,2024-07-17
56124453,Smith-Daniels,4.27,2024-02-27
35927483,Davis-Ramos,24.49,2024-01-21
35495640,"Evans, Young and Dean",54.98,2024-07-24
35495640,Brown-Shaffer,88.32,2024-04-25
35495640,"Thomas, Walker and Craig",42.96,2024-03-13
35927483,"Greene, Martin and Benson",86.56,2024-07-29
35495640,Brown-Shaffer,92.17,2024-01-06
56124453,"Thomas, Walker and Craig",61.74,2024-05-04
35495640,"Rodriguez, Ray and Romero",68.13,2024-05-23
56124453,Davis-Ramos,21.11,2024-01-31
56124453,Weber-Lynch,17.97,2024-07-02
56124453,Davis-Kennedy,64.46,2024-02-03
35495640,Gomez-Hunt,87.47,2024-04-15
35495640,Allen Ltd,46.88,2024-06-27
35927483,"Suarez, Russell and Coleman",80.07,2024-01-12
35495640,"Figueroa, Stark and Ferguson",25.14,2024-04-17
35495640,"Nguyen, Walker and Church",66.39,2024-01-27
56124453,Weber-Lynch,41.81,2024-01-29
56124453,"Smith, Smith and Sanford",36.25,2024-04-09
56124453,Brown-Shaffer,36.29,2024-06-27
35927483,"Martin, Fuentes and Owens",92.27,2024-02-02
56124453,"Greene, Martin and Benson",93.19,2024-03-22
35495640,"Figueroa, Stark and Ferguson",28.12,2024-02-07
35495640,Hester-Thomas,65.25,2024-07-23
35927483,Davis-Mcgee,11.68,2024-01-19
35495640,"Figueroa, Stark and Ferguson",9.09,2024-06-11
35495640,"Hamilton, Brown and Vincent",49.43,2024-05-19
35495640,Sanchez-Meyers,5.56,2024-05-22
56124453,"Rodriguez, Ray and Romero",27.71,2024-02-08
35495640,"Hamilton, Brown and Vincent",10.25,2024-01-16
35495640,Hester-Thomas,66.48,2024-01-24
56124453,"Greene, Martin and Benson",5.06,2024-02-10
56124453,"Trujillo, Ewing and Young",11.02,2024-02-03
56124453,Allen Ltd,44.58,2024-04-06
35495640,Allen Ltd,8.46,2024-07-04
35927483,Brown-Shaffer,38.7,2024-03-29
35927483,Hester-Thomas,74.24,2024-01-17
56124453,Davis-Kennedy,51.67,2024-03-25
35495640,"Smith, Smith and Sanford",35.45,2024-02-14
35927483,Davis-Mcgee,8.86,2024-01-09
35495640,"Smith, Smith and Sanford",23.29,2024-06-09
56124453,Gomez-Hunt,61.46,2024-05-10
56124453,"Suarez, Russell and Coleman",35.19,2024-05-25
35495640,"Rodriguez, Ray and Romero",63.63,2024-02-28
35495640,"Thomas, Walker and Craig",65.74,2024-06-20
35927483,"Rodriguez, Ray and Romero",95.45,2024-06-03
56124453,"Figueroa, Stark and Ferguson",58.12,2024-04-17
35927483,Hughes Inc,74.19,2024-05-05
35927483,Allen Ltd,16.46,2024-01-04
35927483,Allen Ltd,83.44,2024-02-25
35495640,"Barnes, Young and Sanchez",59.6,2024-03-18
35495640,Hayes-Rios,81.13,2024-03-04
35927483,Davis-Ramos,58.46,2024-06-20
56124453,"Castillo, Hill and Lee",58.28,2024-07-15
35495640,"Suarez, Russell and Coleman",91.61,2024-02-21
35927483,Davis-Ramos,11.95,2024-04-23
35495640,Hughes Inc,83.6,2024-02-23
56124453,Davis-Ramos,33.52,2024-05-25
56124453,"Castillo, Hill and Lee",85.36,2024-05-01
35495640,Davis-Ramos,22.64,2024-03-08
56124453,"Trujillo, Ewing and Young",86.09,2024-04-12
35927483,Hughes Inc,93.8,2024-02-29
35927483,"Smith, Smith and Sanford",48.62,2024-02-26
35927483,Sanchez-Meyers,3.89,2024-03-17
56124453,"Barnes, Young and Sanchez",8.61,2024-01-21
35927483,Brown-Shaffer,30.32,2024-03-06
56124453,"Rodriguez, Ray and Romero",6.82,2024-05-16
56124453,Sanchez-Meyers,56.99,2024-06-12
56124453,"Trujillo, Ewing and Young",67.63,2024-05-20
35927483,Hayes-Rios,7.45,2024-02-22
35495640,Gomez-Hunt,65.75,2024-05-10
56124453,"Greene, Martin and Benson",10.67,2024-01-05
35495640,"Castillo, Hill and Lee",43.57,2024-01-04
35927483,Weber-Lynch,11.8,2024-07-16
35495640,Hester-Thomas,46.67,2024-06-06
35495640,Sanchez-Meyers,74.0,2024-06-29
35495640,"Smith, Smith and Sanford",75.0,2024-03-02
56124453,Hayes-Rios,74.71,2024-02-02
35927483,Gomez-Hunt,40.01,2024-06-29
35927483,"Nguyen, Walker and Church",67.74,2024-01-26
35495640,Davis-Mcgee,9.91,2024-06-28
35495640,Davis-Mcgee,36.68,2024-04-17
56124453,"Rodriguez, Ray and Romero",49.48,2024-02-16
35927483,"Evans, Young and Dean",98.67,2024-06-13
56124453,Jones and Sons,58.9,2024-07-22
35927483,Carpenter PLC,42.08,2024-06-23
56124453,"Martin, Fuentes and Owens",64.04,2024-06-06
35927483,"Rodriguez, Ray and Romero",85.65,2024-06-12
35927483,"Evans, Young and Dean",27.02,2024-07-15
35495640,Monroe-Howard,88.28,2024-01-03
35495640,Brown-Shaffer,98.25,2024-06-15
35927483,Davis-Kennedy,55.2,2024-06-06
56124453,Jones and Sons,30.45,2024-07-07
35927483,Hester-Thomas,12.72,2024-03-25
35495640,Sanchez-Meyers,57.48,2024-07-25
56124453,"Smith, Smith and Sanford",70.65,2024-07-08
35495640,Smith-Daniels,37.88,2024-07-23
56124453,"Thomas, Walker and Craig",10.08,2024-05-04
35495640,Weber-Lynch,89.23,2024-06-28
56124453,Brown-Shaffer,8.19,2024-02-16
